ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Duhumbi-1_1sg-1,,Duhumbi,1_1sg,ga,ga,g a,,Lieberherr2017,101,,^g a$,default
Duhumbi-2_2sg-1,,Duhumbi,2_2sg,naŋ,naŋ,n a ŋ,,Lieberherr2017,301,,^n a ŋ$,default
Duhumbi-3_3sg-1,,Duhumbi,3_3sg,wɔj,wɔj,w ɔ j,,Lieberherr2017,501,,^w ɔ j$,default
Duhumbi-4_ant-1,,Duhumbi,4_ant,kʰin-ʨʰɔk,kʰin-ʨʰɔk,kʰ i n + tɕʰ ɔ k,,Lieberherr2017,701,,^kʰ i n - ʨʰ ɔ k$,default
Duhumbi-5_armhand-1,,Duhumbi,5_armhand,hut,hut,h u t,,Lieberherr2017,901,,^h u t$,default
Duhumbi-6_ash-1,,Duhumbi,6_ash,ʨʰu-pʰak,ʨʰu-pʰak,tɕʰ u + pʰ a k,,Lieberherr2017,1101,,^ʨʰ u - pʰ a k$,default
Duhumbi-7_big-1,,Duhumbi,7_big,ɔ-dɔk,ɔ-dɔk,ɔ + d ɔ k,,Lieberherr2017,1301,,^ɔ - d ɔ k$,default
Duhumbi-8_bird-1,,Duhumbi,8_bird,hwa,hwa,w̥ a,,Lieberherr2017,1501,,^hw a$,default
Duhumbi-9_bite-1,,Duhumbi,9_bite,zɛk,zɛk,z ɛ k,,Lieberherr2017,1701,,^z ɛ k$,default
Duhumbi-10_bitter-1,,Duhumbi,10_bitter,ʨʰak-ba,ʨʰak-ba,tɕʰ a k + b a,,Lieberherr2017,1901,,^ʨʰ a k - b a$,default
Duhumbi-11_black-1,,Duhumbi,11_black,u-ʨʰam,u-ʨʰam,u + tɕʰ a m,,Lieberherr2017,2101,,^u - ʨʰ a m$,default
Duhumbi-12_blood-1,,Duhumbi,12_blood,hɔj,hɔj,h ɔ j,,Lieberherr2017,2301,,^h ɔ j$,default
Duhumbi-13_bone-1,,Duhumbi,13_bone,ɕa-kʰus,ɕa-kʰus,ɕ a + kʰ u s,,Lieberherr2017,2501,,^ɕ a - kʰ u s$,default
Duhumbi-14_breast-1,,Duhumbi,14_breast,nu,nu,n u,,Lieberherr2017,2701,,^n u$,default
Duhumbi-15_toburnit-1,,Duhumbi,15_toburnit,haj,haj,h a j,,Lieberherr2017,2901,,^h a j$,default
Duhumbi-16_tocarryonback-1,,Duhumbi,16_tocarryonback,bu,bu,b u,,Lieberherr2017,3101,,^b u$,default
Duhumbi-17_cloud-1,,Duhumbi,17_cloud,mukpa,mukpa,m u k p a,,Lieberherr2017,3301,,^m u k p a$,default
Duhumbi-18_tocryweep-1,,Duhumbi,18_tocryweep,kʰip,kʰip,kʰ i p,,Lieberherr2017,3501,,^kʰ i p$,default
Duhumbi-19_todie-1,,Duhumbi,19_todie,i,i,i,,Lieberherr2017,3701,,^i $,default
Duhumbi-20_todomake-1,,Duhumbi,20_todomake,le,le,l e,,Lieberherr2017,3901,,^l e$,default
Duhumbi-21_dog-1,,Duhumbi,21_dog,wa-tʰi,wa-tʰi,w a + tʰ i,,Lieberherr2017,4101,,^w a - tʰ i$,default
Duhumbi-22_drink-1,,Duhumbi,22_drink,ɲiŋ,ɲiŋ,ɲ i ŋ,,Lieberherr2017,4301,,^ɲ i ŋ$,default
Duhumbi-23_dry-1,,Duhumbi,23_dry,wa-ar,wa-ar,w a + a r,,Lieberherr2017,4501,,^w a - a r$,default
Duhumbi-24_ear-1,,Duhumbi,24_ear,kʰu-tʰuŋ,kʰu-tʰuŋ,kʰ u + tʰ u ŋ,,Lieberherr2017,4701,,^kʰ u - tʰ u ŋ$,default
Duhumbi-25_eat-1,,Duhumbi,25_eat,ʨʰa,ʨʰa,tɕʰ a,,Lieberherr2017,4901,,^ʨʰ a$,default
Duhumbi-26_egg-1,,Duhumbi,26_egg,hɔj-ʥɔŋ,hɔj-ʥɔŋ,h ɔ j + dʑ ɔ ŋ,,Lieberherr2017,5101,,^h ɔ j - ʥ ɔ ŋ$,default
Duhumbi-27_eye-1,,Duhumbi,27_eye,kʰu-m,kʰu-m,kʰ u + m,,Lieberherr2017,5303,,^kʰ u - m$,default
Duhumbi-28_far-1,,Duhumbi,28_far,tʰa-u-ɹiŋ,tʰa-u-ɹiŋ,tʰ a + u + ɹ i ŋ,,Lieberherr2017,5501,,^tʰ a - u - ɹ i ŋ$,default
Duhumbi-29_fat-1,,Duhumbi,29_fat,ɔ-jɔw,ɔ-jɔw,ɔ + j ɔ w,,Lieberherr2017,5701,,^ɔ - j ɔ w$,default
Duhumbi-30_fingernail-1,,Duhumbi,30_fingernail,hut-ʦun,hut-ʦun,h u t + ts u n,,Lieberherr2017,5901,,^h u t - ʦ u n$,default
Duhumbi-31_fire-1,,Duhumbi,31_fire,bɛj,bɛj,b ɛ j,,Lieberherr2017,6101,,^b ɛ j$,default
Duhumbi-32_fish-1,,Duhumbi,32_fish,ŋa,ŋa,ŋ a,,Lieberherr2017,6301,,^ŋ a$,default
Duhumbi-33_fleshmeat-1,,Duhumbi,33_fleshmeat,ɕa,ɕa,ɕ a,,Lieberherr2017,6501,,^ɕ a$,default
Duhumbi-34_tofly-1,,Duhumbi,34_tofly,ɕɛɹ,ɕɛɹ,ɕ ɛ ɹ,,Lieberherr2017,6701,,^ɕ ɛ ɹ$,default
Duhumbi-35_full-1,,Duhumbi,35_full,pɕiŋ-ba,pɕiŋ-ba,p ɕ i ŋ + b a,,Lieberherr2017,6901,,^pɕ i ŋ - b a$,default
Duhumbi-36_togive-1,,Duhumbi,36_togive,ɕi,ɕi,ɕ i,,Lieberherr2017,7101,,^ɕ i$,default
Duhumbi-37_togo-1,,Duhumbi,37_togo,wa,wa,w a,,Lieberherr2017,7301,,^w a$,default
Duhumbi-38_good-1,,Duhumbi,38_good,ɔ-ʥɔp,ɔ-ʥɔp,ɔ + dʑ ɔ p,,Lieberherr2017,7501,,^ɔ - ʥ ɔ p$,default
Duhumbi-39_haironhead-1,,Duhumbi,39_haironhead,kʰu-ɕaŋ,kʰu-ɕaŋ,kʰ u + ɕ a ŋ,,Lieberherr2017,7701,,^kʰ u - ɕ a ŋ$,default
Duhumbi-40_hard-1,,Duhumbi,40_hard,kaktar,kaktar,k a k t a r,,Lieberherr2017,7901,,^k a k t a r$,default
Duhumbi-41_head-1,,Duhumbi,41_head,kʰɔ-lɔk,kʰɔ-lɔk,kʰ ɔ + l ɔ k,,Lieberherr2017,8101,,^kʰ ɔ - l ɔ k$,default
Duhumbi-42_tohear-1,,Duhumbi,42_tohear,ʥas,ʥas,dʑ a s,,Lieberherr2017,8301,,^ʥ a s$,default
Duhumbi-43_heavy-1,,Duhumbi,43_heavy,u-li,u-li,u + l i,,Lieberherr2017,8501,,^u - l i$,default
Duhumbi-44_tohide-1,,Duhumbi,44_tohide,uk,uk,u k,,Lieberherr2017,8701,,^u k$,default
Duhumbi-45_tokill-1,,Duhumbi,45_tokill,at,at,a t,,Lieberherr2017,8901,,^a t$,default
Duhumbi-46_horn-1,,Duhumbi,46_horn,kʰɛŋ,kʰɛŋ,kʰ ɛ ŋ,,Lieberherr2017,9101,,^kʰ ɛ ŋ$,default
Duhumbi-47_house-1,,Duhumbi,47_house,wam,wam,w a m,,Lieberherr2017,9301,,^w a m$,default
Duhumbi-48_in-1,,Duhumbi,48_in,naŋ,naŋ,n a ŋ,,Lieberherr2017,9501,,^n a ŋ$,default
Duhumbi-49_knee-1,,Duhumbi,49_knee,kɔːlɔk-pa,kɔːlɔk-pa,k ɔː l ɔ k + p a,,Lieberherr2017,9701,,^k ɔː l ɔ k - p a$,default
Duhumbi-50_toknow-1,,Duhumbi,50_toknow,dɛn,dɛn,d ɛ n,,Lieberherr2017,9901,,^d ɛ n$,default
Duhumbi-51_tolaugh-1,,Duhumbi,51_tolaugh,ʑɛj,ʑɛj,ʑ ɛ j,,Lieberherr2017,10101,,^ʑ ɛ j$,default
Duhumbi-52_leaf-1,,Duhumbi,52_leaf,u-lap,u-lap,u + l a p,,Lieberherr2017,10301,,^u - l a p$,default
