ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,form_in_source
1,duhumbi,1sg,,g a,,,
2,duhumbi,2sg,,n a ŋ,,,
3,duhumbi,3sg,,w ɔ j,,,
4,duhumbi,ant,,kʰ i n + tɕʰ ɔ k,,,
5,duhumbi,armhand,,h u t,,,
6,duhumbi,ash,,tɕʰ u + pʰ a k,,,
7,duhumbi,big,,ɔ + d ɔ k,,,
8,duhumbi,bird,,w̥ a,,,
9,duhumbi,bite,,z ɛ k,,,
10,duhumbi,bitter,,tɕʰ a k + b a,,,
11,duhumbi,black,,u + tɕʰ a m,,,
12,duhumbi,blood,,h ɔ j,,,
13,duhumbi,bone,,ɕ a + kʰ u s,,,
14,duhumbi,breast,,n u,,,
15,duhumbi,toburnit,,h a j,,,
16,duhumbi,tocarryonback,,b u,,,
17,duhumbi,cloud,,m u k p a,,,
18,duhumbi,tocryweep,,kʰ i p,,,
19,duhumbi,todie,,i,,,
20,duhumbi,todomake,,l e,,,
21,duhumbi,dog,,w a + tʰ i,,,
22,duhumbi,drink,,ɲ i ŋ,,,
23,duhumbi,dry,,w a + a r,,,
24,duhumbi,ear,,kʰ u + tʰ u ŋ,,,
25,duhumbi,eat,,tɕʰ a,,,
26,duhumbi,egg,,h ɔ j + dʑ ɔ ŋ,,,
27,duhumbi,eye,,kʰ u + m,,,
28,duhumbi,far,,tʰ a + u + ɹ i ŋ,,,
29,duhumbi,fat,,ɔ + j ɔ w,,,
30,duhumbi,fingernail,,h u t + ts u n,,,
31,duhumbi,fire,,b ɛ j,,,
32,duhumbi,fish,,ŋ a,,,
33,duhumbi,fleshmeat,,ɕ a,,,
34,duhumbi,tofly,,ɕ ɛ ɹ,,,
35,duhumbi,full,,p ɕ i ŋ + b a,,,
36,duhumbi,togive,,ɕ i,,,
37,duhumbi,togo,,w a,,,
38,duhumbi,good,,ɔ + dʑ ɔ p,,,
39,duhumbi,haironhead,,kʰ u + ɕ a ŋ,,,
40,duhumbi,hard,,k a k t a r,,,
41,duhumbi,head,,kʰ ɔ + l ɔ k,,,
42,duhumbi,tohear,,dʑ a s,,,
43,duhumbi,heavy,,u + l i,,,
44,duhumbi,tohide,,u k,,,
45,duhumbi,tokill,,a t,,,
46,duhumbi,horn,,kʰ ɛ ŋ,,,
47,duhumbi,house,,w a m,,,
48,duhumbi,in,,n a ŋ,,,
49,duhumbi,knee,,k ɔː l ɔ k + p a,,,
50,duhumbi,toknow,,d ɛ n,,,
51,duhumbi,tolaugh,,ʑ ɛ j,,,
52,duhumbi,leaf,,u + l a p,,,
53,duhumbi,legfoot,,l ɛ j,,,
54,duhumbi,liver,,ɕ a + t a ŋ k u,,,
55,duhumbi,long,,u + r i ŋ,,,
56,duhumbi,louse,,h ɛ k,,,
57,duhumbi,moon,,n a m + b a,,,
58,duhumbi,mouth,,h ɔ + tɕ u,,,
59,duhumbi,name,,b i ŋ,,,
60,duhumbi,navel,,b ɔː + d i,,,
61,duhumbi,neck,,h ɛ n + tʰ ɔ ŋ,,,
62,duhumbi,new,,ɔ + kʰ ɔ n,,,
63,duhumbi,nose,,h ɛ m + pʰ ɔ ŋ,,,
64,duhumbi,not,,b a,,,
65,duhumbi,oldofthings,,ɔ + m ɛ n,,,
66,duhumbi,one,,h i n,,,
67,duhumbi,path,,h u m a,,,
68,duhumbi,rain,,n a + m u,,,
69,duhumbi,red,,ɔ + kʰ e k,,,
70,duhumbi,root,,r a + b a,,,
71,duhumbi,torun,,d u r,,,
72,duhumbi,salt,,h a,,,
73,duhumbi,sand,,b e ts a,,,
74,duhumbi,tosay,,i n,,,
75,duhumbi,tosee,,a j,,,
76,duhumbi,tosit,,dʑ u,,,
77,duhumbi,skinhide,,ɕ a + kʰ ɔ k,,,
78,duhumbi,tosleep,,m i n,,,
79,duhumbi,small,,k a + t i,,,
80,duhumbi,smoke,,b u + kʰ u,,,
81,duhumbi,stand,,kʰ i ŋ,,,
82,duhumbi,star,,k a ɹ m a,,,
83,duhumbi,stonerock,,l u ŋ,,,
84,duhumbi,sun,,n a + m i,,,
85,duhumbi,sweet,,j ɔ ŋ + j ɔ ŋ,,,
86,duhumbi,tail,,ɲ ɔ j,,,
87,duhumbi,totake,,tʰ ɔ n,,,
88,duhumbi,thick,,ɔ + tʰ ɛ s,,,
89,duhumbi,this,,ɔ + tɕʰ i,,,
90,duhumbi,tongue,,l ɔ j,,,
91,duhumbi,tooth,,h i n + t u ŋ,,,
92,duhumbi,water,,kʰ o w,,,
93,duhumbi,what,,a + b e,,,
94,duhumbi,white,,j a ŋ + k a ɹ,,,
95,duhumbi,who,,m i,,,
96,duhumbi,wind,,n a m + s u ŋ,,,
97,duhumbi,wing,,p ɛ m p u,,,
98,duhumbi,woman,,dʑ u + m u,,,
99,duhumbi,wood,,ɕ i ŋ,,,
100,duhumbi,yesterday,,d ɛ j + j u,,,
101,khispi,1sg,,g a,,,
102,khispi,2sg,,n a ŋ,,,
103,khispi,3sg,,w u j,,,
